الصفحة,العنوان,الكاتب,الردود,المشاهدات,آخر_مشاركة,الرابط
1,مشرفون  ......  من كارتون,أثر,13,399,2025-10-1216:46أثر,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339951
1,النسيان .. حياة تولد وبراعم تزهر,أثر,10,388,2025-10-1120:58أثر,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339911
1,كن بجوار حسناتك,علي هزايمه,5,323,2025-10-0805:37أثر,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339858
1,احذر من فخ المعاملة بالمثل !❗,Noetic,4,311,2025-10-0715:34Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339889
1,عاش محروما ... ومات معدوما  🤔,أثر,9,765,2025-10-0516:52bmlsy,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339158
1,قصيدة عربية قافيتها انجليزية,علي هزايمه,2,176,2025-10-0421:26bmlsy,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339865
1,رحم الله من ربونا,علي هزايمه,1,168,2025-10-0318:18Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339866
1,فكرت معكم فكانت كلماتي,Ali Harmal,57,"10,206",2025-10-0318:12Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2335442
1,مسابقة أفضل تحليل لمواضيع القضايا الهامة 📝✨,Noetic,3,"2,204",2025-10-0314:10Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339309
1,جدتي وجدي ... حب ووفاء,أثر,15,"1,057",2025-10-0311:45أثر,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339176
1,استثمر بيت في الجنه,علي هزايمه,1,202,2025-10-0223:06bmlsy,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339857
1,حوار بين العلم والمال,علي هزايمه,2,220,2025-10-0214:08علي هزايمه,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339846
1,حوار خطير بين النفس والضمير,علي هزايمه,0,140,2025-10-0113:43علي هزايمه,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339845
1,"موكب العائدين مشروع الجلفة أنتم ,/,",حمزة,7,419,2025-10-0113:16حمزة,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339816
1,{ ✨ معًا لإحياء منتديات الجلفة ✨ },بٰٰاولو,16,"1,275",2025-09-3021:57@رنيم الأمل في الحياة@,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339208
1,مساء الخير يا صاحبي,Ali Harmal,0,272,2025-09-2515:45Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339797
1,✍ أنا من صناع منتديات الجلفة 👩‍💻 مسابقات و تكريمات و جوائز 🎁✨,Noetic,27,"1,668",2025-09-2317:18TakouaQueen,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2338688
1,حوار بين رجل وامراه,علي هزايمه,2,271,2025-09-2312:00سعد606,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339723
1,الحسد,علي هزايمه,1,471,2025-09-2020:33Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339724
2,عندما تعجز الكلمات,علي هزايمه,0,309,2025-09-1314:03علي هزايمه,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339581
2,طبول حربٍ ضد الله ورسوله,السجنجل,1,346,2025-09-1311:30zafer h,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339519
2,التنافس العِـدائي,السجنجل,2,"1,278",2025-09-0322:10kheloufi.com,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337314
2,رسائل لم تصل ...,أثر,14,"1,992",2025-08-2800:51أثر,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337327
2,من فاجعة وادي الحراش، تجلى معنى الإيثار والتضحية بالنفس,Mohand_Zekrini,7,680,2025-08-2518:55TakouaQueen,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339207
2,في الشـــارع,السجنجل,10,855,2025-08-2321:31Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2338682
2,البحر، هذا العملاق الوديع، يتجهله الإنسان في عدم رد جميل صنعه,Mohand_Zekrini,6,"1,156",2025-08-2317:29Mohand_Zekrini,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2323575
2,"نظرية نواة التبلور "" نظرية بذرة التبلور""",ماجد تيم,1,445,2025-08-1901:04ماجد تيم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339204
2,سہلہب الہنوم خہيہالہ مر بيہ,حمزة,1,443,2025-08-1814:05بٰٰاولو,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339198
2,ركائز المنتدى,حمزة,16,"3,086",2025-08-1811:55سليم المبتسم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334478
2,إشتقنا للمنتدى🥺,نجاة^^,22,"3,957",2025-08-1806:55عبدو الصغير,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2327739
2,لماذا وهران ؟؟؟,حمزة,2,467,2025-08-1516:41Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339147
2,الإستدراج الحقيقي,السجنجل,1,413,2025-08-1420:21Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2339125
2,°°°أعطونا فرصة لننهض بمواضيعنا ..شاركنا موضوعك°°°,وَحْـــ القلَمْ ـــيُ,31,"2,704",2025-08-1411:57السَّحابة البيضاءْ,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2157009
2,... ثُم مَــاذا ؟,مختلف,6,"1,097",2025-08-1115:47السَّحابة البيضاءْ,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2048020
2,إحذر أن تكون  مُخبباً أو مُرجفاً في المجتمع,السجنجل,0,460,2025-07-1915:09السجنجل,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2338672
2,و الذي أجرى دموعي عندما ..,حمزة,0,399,2025-07-1913:28حمزة,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2338668
2,أرقُ المعصية,السجنجل,0,383,2025-07-1614:57السجنجل,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2338622
2,"""‏التفاهة.. طريقٌ نحو الغباء""",السجنجل,15,"2,068",2025-07-1018:48Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337279
2,أخوك لا تخسره,علي هزايمه,0,666,2025-07-0516:06علي هزايمه,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2338442
2,حُلل البائسين,السجنجل,4,"1,731",2025-06-2818:50محمد راج,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337311
2,أمنية,Ali Harmal,0,364,2025-06-2720:48Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2338262
2,من الجزائر إلى غزة .. هل قافلة الصمود كافية لكسر الحصار؟,فراس 88,4,885,2025-06-1320:38Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337790
2,ما دمت تنشد عن الحال,علي هزايمه,0,622,2025-06-1314:13علي هزايمه,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337885
2,جيل التسعينات ..,حمزة,5,"1,109",2025-06-1116:44نجاة^^,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337436
2,تقول العرب قديما,علي هزايمه,2,"1,430",2025-05-0914:14علي هزايمه,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337302
2,"""الإنهزامية ضربت أطنابها في نفوس البعض""",Mohand_Zekrini,11,"7,282",2025-05-0816:55Mohand_Zekrini,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2317427
2,الشغف ... أين ذهب يا ترى ؟!!,أثر,4,"1,044",2025-05-0816:49Mohand_Zekrini,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337254
2,معدات الصيد البري: الدليل الشامل لعشاق المغامرة في البرية,ABDALLAHAH,0,"1,168",2025-05-0813:53ABDALLAHAH,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337289
2,تعجَّبَ الهُدهد وأُعجبنا نحنُ,السجنجل,0,"1,111",2025-05-0723:50السجنجل,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337273
3,مزايا الفقر,علي هزايمه,6,"2,057",2025-05-0714:07السجنجل,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2331033
3,سنُخبرُ الأجِنة أن حب فلسطين فرضٌ إن لم يكن سُنة,السجنجل,4,"2,074",2025-05-0616:37السجنجل,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332633
3,الكل أيتها المرأة,علي هزايمه,4,"1,794",2025-04-2904:40الخطب المكتوبة,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2337139
3,أشكر حسّادك,Ali Harmal,2,"3,564",2025-04-2417:29Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2335710
3,لا تفكر الا بالله,عبدالحليم الطيطي,4,"2,596",2025-04-2006:37منتديات نعناع,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2324025
3,ثمانية عشرة سنة في المنتدى,سفيان الحسن1,2,"2,402",2025-04-2006:37منتديات نعناع,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2336737
3,مصطلحات مهمة,Ali Harmal,4,"3,595",2025-04-2006:36منتديات نعناع,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2335858
3,@دعوة لمقاطعة اقتصادية للمشاركين في الإجرام..@,أمير جزائري حر,-,-,N/A,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2325159
3,حكّام من حجر ... لا تهزّهم العواصف!,فراس 88,14,"2,459",2025-04-0820:52فراس 88,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2336783
3,عش يومك مثل النبي صلى الله عليه وسلم,TakouaQueen,3,"2,868",2025-04-0815:17kyoufo,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2336376
3,مشاهد من غزة,عبدالحليم الطيطي,2,"2,859",2025-04-0815:16kyoufo,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332862
3,لا نريد الرحيل لانه جزء منا ...,اللهم ارزقني عفةمريم,1,"2,061",2025-03-3107:57Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2336747
3,تأملات رمضانية,TakouaQueen,3,"3,360",2025-03-2414:01TakouaQueen,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2336462
3,لا يصل,عبدالحليم الطيطي,0,"1,930",2025-03-2309:18عبدالحليم الطيطي,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2336594
3,لم ينسَ أن يكتب لله قبل الموت بكورونا,عبدالحليم الطيطي,16,"7,507",2025-03-2307:51عبدالحليم الطيطي,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2277065
3,مشيت في الغاب,عبدالحليم الطيطي,2,"3,197",2025-03-2307:41عبدالحليم الطيطي,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2328238
3,سجون العرب,عبدالحليم الطيطي,3,"1,434",2025-03-2213:56عبدالحليم الطيطي,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2336572
3,يشتري الدواء لنعجته ولايشتريه لزوجته,أثر,24,"6,482",2025-02-1115:27السجنجل,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334864
3,مــــــــــــــــــن أقــــــــــــــــــــوالي,السجنجل,23,"8,501",2025-02-0615:59السجنجل,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2289101
3,لن تنال مرتبة الصديق حتى تدفع الغيبة عن صديقك  … لا تخادع نفسك,صـالـح,7,"3,762",2025-02-0615:37Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2335271
3,مقتطفات و اقتباسات من مواضيع الزمن الجميل,Noetic,33,"9,055",2025-02-0422:01Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2331901
3,أنا والشرطي,Ali Harmal,0,"2,854",2025-02-0419:11Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2336078
3,أنا وأنت ياصحبي,Ali Harmal,0,"2,945",2025-01-3017:55Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2336041
3,~~ غائبون عنّا حاضرون في قلوبنا ~~,حمزة,18,"5,427",2025-01-1320:28أمير جزائري حر,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334985
3,"أفكار  عامّة ... و بعضها حاصّ '' ( صندوق الأفكار ) """,حمزة,2,"3,644",2025-01-1318:29حمزة,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2335583
3,مختارات أدبية,اسماعيل 03,16,"5,131",2025-01-1019:34Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2335472
3,أسعد الله مساك يا أمي وعام جديد,Ali Harmal,0,"2,904",2024-12-3118:31Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2335692
3,من أجل جاه السلطان وعسل السلطة يتنافس المتنافسون,Mohand_Zekrini,14,"17,157",2024-12-2022:29Mohand_Zekrini,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2319410
3,مساء الخير,Ali Harmal,0,"3,074",2024-12-0615:36Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2335465
3,أواجه مشكلة ..... لكم الحكم فيما سأقول,حمزة,2,"2,707",2024-12-0318:22Ali Harmal,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2335398
4,اضراب الكرامة | النخبة لا تُهان,اكرام براءة,18,"4,632",2024-12-0315:19اكرام براءة,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334851
4,النقد والانتقاد .. الفرق كبير,الزمزوم,4,"2,652",2024-12-0314:49الزمزوم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333801
4,أسس الحوار البناء.,عدنان أبو إبراهيم,22,"4,122",2024-11-2213:45Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334964
4,من أقوال السلف في ذم الغيبة,سليم المبتسم,4,"2,455",2024-11-2020:34سليم المبتسم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333105
4,الكذب يعد رياضة في بلادي,Mohand_Zekrini,8,"2,954",2024-11-1321:19Mohand_Zekrini,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2317134
4,بيان العبارات و تبيان المعاني ...,حمزة,13,"2,601",2024-11-1317:09حمزة,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334841
4,[ إعلام إشرافي ] بخصوص حذف المجموعات الإجتماعية بالقسم العام,Noetic,0,"1,986",2024-11-1316:07Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334996
4,معايير الرجولة بين أصناف النساء .,عدنان أبو إبراهيم,12,"2,621",2024-11-1211:11عدنان أبو إبراهيم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333639
4,أنصار الصهاينة ضد أنصار المجوس .,عدنان أبو إبراهيم,2,"1,213",2024-11-1208:17عدنان أبو إبراهيم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334948
4,النبي  يعقوب .,عدنان أبو إبراهيم,40,"3,213",2024-11-1023:52الزمزوم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334834
4,من هم أعداء الكيان الصهيوني و هل هناك من يحبه ؟ (التجارة العاطفية),عدنان أبو إبراهيم,1,922,2024-11-1023:03Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334882
4,أنا مع التطبيع ..,أَحمــد,16,"2,995",2024-11-1022:52Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2268120
4,رسالة لك يا من عاتبتني,أثر,3,"1,171",2024-11-0411:53حمزة,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334714
4,هل كانا شبحا أم ماذا ؟؟؟!!!!,أثر,8,"1,547",2024-11-0321:54أثر,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333862
4,قصتي مع المنتدى,أثر,19,"1,519",2024-11-0214:23أثر,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333479
4,ظاهرة عقوق الوالدين أستفحلت كثيرا في بلادي,Mohand_Zekrini,13,"2,974",2024-10-1421:56Mohand_Zekrini,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2321888
4,النقاش في الدين ليس مثل النقاش في المجالات الأخرى.,عدنان أبو إبراهيم,2,849,2024-10-1016:36TakouaQueen,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333670
4,نصيحة لوجه الله لأننا ضيعنا البوصلة,amine krid,1,739,2024-10-0815:04*آية*,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2334072
4,الاستاذ علي هزايمه-خض معارك الحياه,علي هزايمه,0,521,2024-09-2714:17علي هزايمه,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333819
4,موعضة 7,amine krid,0,472,2024-09-2508:24amine krid,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333727
4,اجتماع جمعيات الرتبة,amine krid,0,595,2024-09-2508:16amine krid,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333726
4,لماذا امتلاك حاملة الطائرات عملية صعبه جدا ؟؟,amine krid,2,598,2024-09-2113:25أستاذ كامل,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333195
4,الخطوات للتخلص من الحسد,سليم المبتسم,0,582,2024-09-1620:59سليم المبتسم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333386
4,أقوال وحكم,سليم المبتسم,3,"1,072",2024-09-1222:01سليم المبتسم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333043
4,متى تطبق شريعة القتال في الإسلام,amine krid,1,577,2024-09-1217:11عدنان أبو إبراهيم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333243
4,دردشت الان مع ذكاء الاصناعي و في الاخير لم  يرد علي هههه,amine krid,0,600,2024-09-1211:17amine krid,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333244
4,لماذا لا نعــرف قيمة الشيء الاّ عندما نخسـره؟!,amine krid,1,637,2024-09-1119:30*آية*,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333197
4,في نفس هذه الأُمّة قبسٌ,اسماعيل 03,1,"1,228",2024-09-1011:41عدنان أبو إبراهيم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2327415
4,موعضة 6,amine krid,0,531,2024-09-1010:11amine krid,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333161
4,خدعة الهيلوجرام … مخلوقات فضائية,amine krid,0,516,2024-09-0908:03amine krid,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333129
5,سطح الماء عند استقراره يكون افقي مستوي دائما,amine krid,0,945,2024-09-0907:58amine krid,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333127
5,بعض الآثار في ذم البخل,سليم المبتسم,0,"1,175",2024-09-0621:34سليم المبتسم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333044
5,إستئناس الناس بغير الإنس,السجنجل,12,"3,416",2024-09-0522:57Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332776
5,أنت والواقع,TakouaQueen,17,"8,109",2024-09-0517:38TakouaQueen,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332731
5,قاعدة إجتماعية دينية  مهمة,amine krid,1,"2,918",2024-09-0517:00Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333018
5,موعضة 5,amine krid,0,"4,236",2024-09-0512:56amine krid,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333017
5,موعضة 4,amine krid,0,"5,208",2024-09-0512:53amine krid,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2333016
5,وهم في القاع,عبدالحليم الطيطي,0,"3,774",2024-09-0214:03عبدالحليم الطيطي,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332865
5,الى غزة .....٩,عبدالحليم الطيطي,1,672,2024-09-0213:41ali1596321,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332861
5,الشخصية,سليم المبتسم,2,"1,120",2024-08-3021:00سليم المبتسم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332730
5,أمثلة أمثلة  2024,سليم المبتسم,2,"1,202",2024-08-3020:59سليم المبتسم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332729
5,رجالٌ خائفون من الزواج، ونساءٌ خائفاتٌ من العنوسة,السجنجل,31,"4,871",2024-08-3019:50Noetic,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332662
5,الذكاء بين الناس,سليم المبتسم,0,444,2024-08-2820:23سليم المبتسم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332709
5,رائحة الأنوثة من محلات حلاقة الرجال,السجنجل,9,823,2024-08-2813:09السجنجل,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332623
5,تلقاه في غزة,عبدالحليم الطيطي,3,"1,075",2024-08-2807:11عبدالحليم الطيطي,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2330676
5,الحياة سفر شاق,سليم المبتسم,3,446,2024-08-2700:11سليم المبتسم,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332564
5,الخلوة مع نفسك,TakouaQueen,15,"1,261",2024-08-2610:09TakouaQueen,https://www.djelfa.info/vb/showthread.php?s=575e00653a92ed354d40ed42f51aa9e6&t=2332462
